x,y,z,heading1,heading2,heading3
0.2369167,-0.36475,-0.1135833,146.995,-107.2966,-25.61414,1.029999
0.20775,-0.3678333,-0.1046667,150.5425,-105.8837,-26.73945,1.039999
0.1934167,-0.3849167,-0.09424996,153.3209,-103.7586,-25.9795,1.049999
0.15675,-0.39225,-0.07524997,158.2175,-100.8598,-25.64397,1.059999
0.1365,-0.39325,-0.0588333,160.8577,-98.50879,-23.31668,1.069999
0.1198334,-0.4018333,-0.05091667,163.3945,-97.22151,-23.02043,1.079999
0.1073333,-0.38975,-0.04233331,164.603,-96.19896,-21.52476,1.089999
0.09691668,-0.401,-0.02758333,166.4129,-93.93497,-15.88681,1.099999
0.09066669,-0.397,-0.01508331,167.1354,-92.1758,-9.445228,1.109999
0.09108335,-0.3940833,0.003916681,166.9859,-89.43056,2.462262,1.119999
0.07775,-0.3853333,0.008249998,168.5924,-88.77348,6.056951,1.129999
0.05758333,-0.3928333,0.02600002,171.6607,-86.21335,24.30012,1.139999
0.04716668,-0.3853333,0.03200001,173.0214,-85.25276,34.15474,1.149999
0.03591669,-0.3885,0.04450002,174.718,-83.46563,51.09244,1.159999
0.03150001,-0.3853333,0.05891669,175.3266,-81.30691,61.86866,1.169999
0.03049999,-0.3751667,0.06016669,175.3522,-80.88887,63.11841,1.179999
0.03966668,-0.37075,0.07908335,173.8931,-77.95889,63.36254,1.189999
0.03508335,-0.357,0.08349999,174.3874,-76.83554,67.2098,1.199999
0.02258334,-0.33975,0.15825,176.1971,-65.02466,81.87834,1.209999
0.03733334,-0.3251667,0.1803333,173.4504,-60.98779,78.30362,1.219999
0.04758334,-0.317,0.19725,171.4633,-58.10848,76.43745,1.229999
0.05258334,-0.3118333,0.1843333,170.4285,-59.41148,74.07854,1.239999
0.07275,-0.29725,0.2101667,166.2476,-54.73828,70.9065,1.249999
0.07675001,-0.2968333,0.21075,165.5029,-54.62546,69.98961,1.259999
0.07591668,-0.2976667,0.2045,165.6923,-55.51054,69.63353,1.269999
0.06691668,-0.3024167,0.1955833,167.523,-57.10785,71.11218,1.279999
0.06275001,-0.30575,0.19725,168.4021,-57.17252,72.35287,1.289999
0.05175,-0.3153333,0.2040833,170.6801,-57.0891,75.77125,1.299999
0.04983333,-0.3093333,0.1943333,170.8483,-57.86161,75.61742,1.309999
0.044,-0.3130833,0.18075,172.0002,-60.00119,76.31857,1.319999
0.03550002,-0.3118333,0.19475,173.5052,-58.01388,79.66926,1.329999
0.03150001,-0.3114166,0.1843333,174.2241,-59.37791,80.30261,1.339999
-0.009750009,-0.30325,0.1935,-178.1585,-57.45856,92.88455,1.349999
-0.05599999,-0.3001667,0.192,-169.4322,-57.3952,106.2602,1.359999
-0.07808332,-0.3065833,0.1826667,-165.7112,-59.21291,113.1449,1.369999
-0.12825,-0.2830833,0.1830834,-155.6272,-57.10734,125.0113,1.379999
-0.1843333,-0.2570833,0.17825,-144.3588,-55.2643,135.9612,1.389999
-0.2161667,-0.24875,0.17825,-139.009,-54.37526,140.4912,1.399999
-0.25475,-0.2164166,0.1739167,-130.3487,-51.21396,145.6788,1.409999
-0.2849167,-0.1893333,0.1755833,-123.6049,-47.15787,148.356,1.419999
-0.3124167,-0.1355833,0.17225,-113.46,-38.20738,151.13,1.429999
-0.3263333,-0.09083332,0.20325,-105.5543,-24.08007,148.0841,1.439999
-0.3500833,-0.02791666,0.21975,-94.55928,-7.239973,147.8832,1.449999
-0.35675,0.002750009,0.21975,-89.55833,0.716977,148.3678,1.459999
-0.3450833,0.06083333,0.2336667,-80.00227,14.59259,145.8968,1.469999
-0.3500833,0.08275,0.2305833,-76.70096,19.74166,146.629,1.479999
-0.3365833,0.1433333,0.2305833,-66.93336,31.86557,145.5861,1.489999
-0.337,0.1735833,0.2340833,-62.74772,36.5586,145.2158,1.499999
-0.298,0.2510834,0.23575,-49.8838,46.80399,141.6522,1.509999
-0.267,0.30025,0.2386667,-41.64537,51.51905,138.207,1.519999
-0.2395,0.32,0.23825,-36.81255,53.33116,135.1499,1.529999
-0.1893333,0.3704167,0.2539167,-27.07321,55.56977,126.7101,1.539999
-0.1489167,0.37625,0.2518333,-21.59325,56.20463,120.5971,1.549999
-0.08933332,0.4116667,0.26075,-12.24358,57.64979,108.9115,1.559999
-0.06266665,0.41525,0.266,-8.581922,57.35727,103.2565,1.569999
-0.00183332,0.4285833,0.2635,-0.2450885,58.41612,90.39863,1.579999
0.06299999,0.42625,0.262,8.40748,58.4225,76.47945,1.589999
0.09066669,0.4323333,0.2418334,11.84413,60.77875,69.44827,1.599999
0.1319167,0.4354167,0.2128334,16.85505,63.95044,58.20886,1.609999
0.1544167,0.4225,0.1886667,20.07651,65.93692,50.70094,1.619999
0.17425,0.42025,0.1839167,22.52056,66.36406,46.546,1.629999
0.2238333,0.39625,0.1540833,29.4612,68.75124,34.54291,1.639999
0.249,0.394,0.1405833,32.29205,70.36306,29.44871,1.649999
0.3006667,0.3708334,0.07741669,39.03467,78.20805,14.43908,1.659999
0.3409167,0.3435833,0.02266669,44.77679,86.22558,3.803854,1.669999
0.3513334,0.3156667,-0.01108333,48.06087,92.01087,-1.806882,1.679999
0.3875834,0.2725,-0.0765,54.88992,105.6812,-11.16535,1.689999
0.4034167,0.25275,-0.09025002,57.93188,109.6502,-12.61024,1.699999
0.4135834,0.199,-0.13525,64.30497,124.2019,-18.10877,1.709999
0.4209167,0.1791667,-0.1625833,66.94257,132.2219,-21.11955,1.719999
