Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
4.449999,0.02708333,-0.1764167,-0.4443334,-0.09,0.18,1.1,900,673.2555,291,274.2232,17.72787,248.3451,176.512
4.499999,0.01308333,-0.1808333,-0.4304167,0.47,-0.17,1.1,900,673.2555,291,274.2232,13.13815,247.211,178.2589
4.549999,0.01433333,-0.1868333,-0.4291667,0.49,0.12,0.83,900,719.3806,291,277.8618,13.38699,246.4746,178.0871
4.599999,-0.01725,-0.1605833,-0.4158333,0.03,-0.19,0.9700001,900,765.4643,291,277.613,362.8687,248.8848,182.3754
4.65,-0.01641667,-0.17125,-0.4379167,0.34,0.15,0.88,-900,753.4253,291,-72.52417,363.5242,248.6417,182.1469
4.7,-0.03891666,-0.1566667,-0.4295834,0.27,0.46,1.12,-900,753.4253,291,-72.52417,355.0499,249.9634,185.1764
4.75,-0.07475,-0.1626667,-0.3933333,0.07,-0.51,1.17,-45.11635,742.793,291,-64.04987,344.3199,247.532,190.7603
4.8,-0.04808333,-0.1566667,-0.3789167,-0.32,-0.28,1.02,-45.11635,742.793,291,-64.04987,351.938,247.5369,187.232
4.85,-0.0325,-0.1539167,-0.41625,0.45,-0.04,1.11,-45.8122,732.6773,291,-60.93799,357.077,249.7071,184.4645
4.900001,-0.04975,-0.1655833,-0.4055833,-0.31,-0.66,1.06,-45.8122,732.6773,291,-60.93799,352.2769,247.7918,186.9931
4.950001,-0.01958333,-0.1618333,-0.4095833,-0.03,-0.01,1.04,-45.8122,732.6773,291,-60.93799,362.1002,248.4402,182.7374
5.000001,-0.008500001,-0.15875,-0.4280833,0.3,-0.32,1.07,-216.2599,720.8747,291,-71.10022,365.9351,249.6533,181.1375
5.050001,-0.03808333,-0.17,-0.4285,0.18,0.28,0.64,-216.2599,720.8747,291,-71.10022,356.3731,248.3602,185.0789
5.100001,0.007666667,-0.17,-0.3970833,0.08,-0.48,0.98,-216.2599,720.8747,291,-71.10022,11.58218,246.8232,178.8939
5.150002,0.01141667,-0.1783333,-0.4375,-0.09,-0.4,1.11,900,767.2581,291,279.4178,12.663,247.8233,178.5052
5.200002,0.009333333,-0.1704167,-0.4001667,-0.61,-0.23,0.81,900,813.5497,291,278.8652,12.13483,246.9326,178.6639
5.250002,0.006833333,-0.1695833,-0.4379167,-0.35,-0.66,0.99,900,813.5497,291,278.8652,11.30748,248.8311,179.106
5.300002,-0.02291667,-0.1751667,-0.4068333,0.28,0.38,1.03,900,859.9786,291,279.6925,361.5464,246.7052,183.224
5.350002,-0.01183333,-0.1670833,-0.3980833,0.32,-0.2,1.16,-900,847.7031,291,-73.94891,364.9489,247.2313,181.7027
5.400002,-0.06125,-0.1658333,-0.3933333,0.27,0.15,0.95,-900,847.7031,291,-73.94891,348.7285,247.1392,188.851
5.450003,-0.02375,-0.1526667,-0.386,-0.53,-0.26,0.9,124.5908,838.1202,291,-57.72845,360.1575,248.4207,183.5209
5.500003,-0.06458333,-0.1679167,-0.4030833,0.23,0.52,0.9700001,124.5908,838.1202,291,-57.72845,347.9625,247.3843,189.1028
5.550003,-0.02958333,-0.1639167,-0.43,-0.46,0.11,0.7,55.33402,828.6644,291,-56.96249,358.7695,249.1331,183.9357
5.600003,-0.02208333,-0.17125,-0.4235,0.31,0.53,1.0,55.33402,828.6644,291,-56.96249,361.652,247.9832,182.985
5.650003,-0.008500001,-0.1655833,-0.3891666,-0.29,-0.43,0.83,-220.2325,816.2042,291,-75.06137,366.0614,246.9511,181.2512
5.700004,0.01958333,-0.1704167,-0.43375,0.34,0.61,1.09,-220.2325,816.2042,291,-75.06137,15.55537,248.5506,177.4149
5.750004,0.01833333,-0.20125,-0.4170833,-0.12,-0.53,0.9700001,-220.2325,816.2042,291,-75.06137,14.20513,244.2419,177.4831
5.800004,0.14,-0.1714167,-0.3780833,-0.23,0.31,0.61,900,862.1522,291,276.7949,48.23932,245.6113,159.681
5.850004,0.1814167,-0.1505833,-0.4104167,0.23,0.53,1.04,900,900.6134,291,231.6941,59.30593,249.8517,156.1531
5.900004,0.2454167,-0.11975,-0.3780833,0.33,0.05,1.14,900,900.6134,291,231.6941,72.99014,252.4255,147.0121
5.950005,0.226,-0.09308333,-0.3768333,-0.33,-0.03,0.67,900,936.803,291,218.0099,76.61455,256.1249,149.0474
