x,y,z,heading1,heading2,heading3
-0.01016667,-0.2016667,0.35125,-177.114,-29.86185,91.65791,1.189999
-0.01516667,-0.2141667,0.3554167,-175.9492,-31.07229,92.44349,1.199999
-0.02083333,-0.23225,0.3355833,-174.8742,-34.68628,93.55241,1.209999
-0.0275,-0.2366667,0.3295834,-173.3721,-35.68131,94.76963,1.219999
-0.06375,-0.2526667,0.3129167,-165.8393,-38.91937,101.5152,1.229999
-0.071,-0.25,0.31475,-164.1454,-38.45945,102.7118,1.239999
-0.09458333,-0.2845833,0.26375,-161.6154,-47.17585,109.7283,1.249999
-0.095,-0.2933333,0.2401667,-162.0547,-50.69109,111.5817,1.259999
-0.111,-0.3001667,0.2355833,-159.7059,-51.87369,115.2284,1.269999
-0.10975,-0.3326667,0.19225,-161.7418,-59.97613,119.7208,1.279999
-0.1143333,-0.3318333,0.17475,-160.9886,-62.22781,123.1954,1.289999
-0.1164167,-0.34,0.1501667,-161.0987,-66.17055,127.7846,1.299999
-0.12375,-0.3625,0.1408333,-161.1512,-68.76856,131.3057,1.309999
-0.1375,-0.36725,0.1268333,-159.4739,-70.94715,137.3108,1.319999
-0.146,-0.3620833,0.09183332,-158.0396,-75.76846,147.8303,1.329999
-0.1551667,-0.3654167,0.07375,-156.9925,-78.58958,154.5785,1.339999
-0.165,-0.366,0.04225,-155.7332,-83.41508,165.6374,1.349999
-0.1704167,-0.3645833,0.03958333,-154.9473,-83.80358,166.9236,1.359999
-0.181,-0.3580833,-0.003083333,-153.1848,-90.49333,-179.0241,1.369999
-0.1893333,-0.3625,-0.01708333,-152.422,-92.69814,-174.8442,1.379999
-0.1754167,-0.3576667,-0.04891667,-153.8745,-97.7878,-164.4183,1.389999
-0.1918333,-0.3658333,-0.0635,-152.3287,-99.84708,-161.6846,1.399999
-0.1876667,-0.3555833,-0.09058333,-152.1762,-104.2919,-154.2342,1.409999
-0.1966667,-0.34475,-0.1254167,-150.2969,-109.9909,-147.4739,1.419999
-0.216,-0.3266666,-0.1458333,-146.5263,-114.0573,-145.9746,1.429999
-0.20875,-0.3139167,-0.1595833,-146.3767,-116.9471,-142.6031,1.439999
-0.2214167,-0.2976667,-0.2,-143.3566,-123.8969,-137.9093,1.449999
-0.2176667,-0.2976667,-0.2,-143.8241,-123.8969,-137.4221,1.459999
-0.2280833,-0.26125,-0.2291667,-138.8775,-131.257,-134.8642,1.469999
-0.2276667,-0.25,-0.23975,-137.6769,-133.801,-133.5191,1.479999
-0.2201667,-0.2201667,-0.2679167,-135.0,-140.5876,-129.4124,1.489999
-0.2308333,-0.2101667,-0.2955833,-132.3169,-144.5863,-127.9878,1.499999
-0.22475,-0.1825,-0.32625,-129.0771,-150.7779,-124.5625,1.509999
-0.2218333,-0.1816667,-0.336,-129.3152,-151.601,-123.4335,1.519999
-0.2058333,-0.1489167,-0.3491667,-125.885,-156.9021,-120.5193,1.529999
-0.1975,-0.116,-0.361,-120.4275,-162.1862,-118.6827,1.539999
-0.1754167,-0.1095833,-0.3576667,-121.9931,-162.9658,-116.1255,1.549999
-0.1768333,-0.081,-0.38475,-114.6105,-168.1113,-114.6838,1.559999
-0.16375,-0.07141667,-0.4039166,-113.5636,-169.9731,-112.0679,1.569999
-0.1535,-0.03975,-0.39975,-104.5183,-174.3213,-111.0063,1.579999
-0.1345833,-0.01958333,-0.4076666,-98.27905,-177.2498,-108.2696,1.589999
-0.1266667,-0.004333333,-0.4091667,-91.95934,-179.3932,-107.2011,1.599999
-0.1205833,0.01433333,-0.4341667,-83.22124,178.1091,-105.5218,1.609999
-0.1004167,0.03683333,-0.4333333,-69.8567,175.1415,-103.0469,1.619999
-0.09708333,0.06375,-0.43,-56.709,171.567,-102.7226,1.629999
-0.07475,0.08141666,-0.4205833,-42.55556,169.0442,-100.0779,1.639999
-0.06375,0.09558333,-0.42725,-33.70159,167.3896,-98.48649,1.649999
-0.04933333,0.1095833,-0.4401667,-24.2368,166.0199,-96.39494,1.659999
-0.03558333,0.1301667,-0.4291667,-15.28925,163.1274,-94.7397,1.669999
-0.02166667,0.13375,-0.4354167,-9.201624,162.9242,-92.84872,1.679999
-0.016,0.1543333,-0.4251667,-5.918807,160.0494,-92.15514,1.689999
-0.005166667,0.16875,-0.4175,-1.753693,157.9918,-90.70901,1.699999
0.01183333,0.1933333,-0.4001667,3.502527,154.2133,-88.30619,1.709999
