x,y,z,heading1,heading2,heading3
-0.0396909,0.4691575,-0.05854745,-4.83573,97.11332,-124.1344,1.219999
-0.09106075,0.4530258,-0.0380045,-11.36533,94.79533,-157.3466,1.229999
-0.1548999,0.4375627,-0.03223664,-19.49427,94.21354,-168.2438,1.239999
-0.1692132,0.4287863,-0.02907618,-21.53582,93.8793,-170.25,1.249999
-0.2135581,0.4229354,0.000948153,-26.79115,89.87155,179.7456,1.259999
-0.2311205,0.3986961,-0.002054289,-30.10048,90.2952,-179.4907,1.269999
-0.2708114,0.3705283,0.0283651,-36.16229,85.62236,174.0206,1.279999
-0.2841588,0.3460381,0.0463797,-39.39207,82.3661,170.7301,1.289999
-0.3091851,0.3234704,0.05996966,-43.70648,79.49693,169.0232,1.299999
-0.3169125,0.3192912,0.0726115,-44.78578,77.188,167.095,1.309999
-0.3320161,0.2975594,0.0878607,-48.13268,73.54964,165.1777,1.319999
-0.3443098,0.2586927,0.1156727,-53.0811,65.90852,161.4299,1.329999
-0.353091,0.2359579,0.1251541,-56.24662,62.05814,160.483,1.339999
-0.3546716,0.1962554,0.1508328,-61.0423,52.4558,156.9612,1.349999
-0.3640674,0.1966734,0.1575488,-61.62157,51.30289,156.5996,1.359999
-0.3653846,0.1469408,0.1886002,-68.09228,37.92261,152.6986,1.369999
-0.3595012,0.131227,0.1832274,-69.94664,35.61014,152.9934,1.379999
-0.3574816,0.09846206,0.1846497,-74.6007,28.06819,152.6823,1.389999
-0.3599403,0.06920763,0.1784868,-79.11626,21.19363,153.6241,1.399999
-0.3665262,0.0530759,0.1808571,-81.76038,16.35531,153.7366,1.409999
-0.3583597,0.02632899,0.1717708,-85.79797,8.714458,154.3904,1.419999
-0.3616965,0.005683724,0.1759584,-89.09972,1.850097,154.058,1.429999
-0.3498419,-0.0267469,0.1645018,-94.37199,-9.235098,154.8163,1.439999
-0.3399192,-0.03719491,0.1739831,-96.24461,-12.0673,152.895,1.449999
-0.3315771,-0.06644935,0.1713758,-101.3322,-21.19333,152.6678,1.459999
-0.3243765,-0.08876629,0.1735881,-105.3044,-27.08346,151.8468,1.469999
-0.301282,-0.1195252,0.1670301,-111.6393,-35.58716,150.9961,1.479999
-0.2968915,-0.1497827,0.1641067,-116.7711,-42.38718,151.0684,1.489999
-0.2730067,-0.1614844,0.1670301,-120.6045,-44.03287,148.541,1.499999
-0.2668599,-0.1740221,0.159129,-123.1088,-47.55963,149.1923,1.509999
-0.2541271,-0.1809595,0.1668721,-125.454,-47.31925,146.7092,1.519999
-0.2295398,-0.2045303,0.1558105,-131.7025,-52.69996,145.8315,1.529999
-0.2179487,-0.2149783,0.1725609,-134.6069,-51.24633,141.6296,1.539999
-0.1995082,-0.2319458,0.1656869,-139.2995,-54.46046,140.2912,1.549999
-0.1865121,-0.2499164,0.1542303,-143.2661,-58.32012,140.412,1.559999
-0.182824,-0.2555165,0.1400082,-144.416,-61.27981,142.5548,1.569999
-0.1979277,-0.284771,0.1022408,-145.1991,-70.25043,152.6811,1.579999
-0.1955567,-0.2786693,0.08628048,-144.9407,-72.79664,156.1927,1.589999
-0.1847559,-0.3054162,0.05127842,-148.8289,-80.46911,164.4882,1.599999
-0.1687741,-0.3119358,0.04061189,-151.5842,-82.5822,166.4702,1.609999
-0.1711451,-0.3282347,0.002923436,-152.462,-89.4897,179.0214,1.619999
-0.1516509,-0.3467904,-0.02986629,-156.3803,-94.92228,-168.8587,1.629999
-0.1564805,-0.3416082,-0.04432541,-155.3889,-97.3931,-164.1844,1.639999
-0.1619248,-0.3495486,-0.09307542,-155.1445,-104.9104,-150.1094,1.649999
-0.1626273,-0.3512203,-0.1310009,-155.1542,-110.4549,-141.1476,1.659999
-0.1582367,-0.3476262,-0.1807781,-155.5253,-117.4761,-131.196,1.669999
-0.1340885,-0.3459545,-0.2131728,-158.8142,-121.6408,-122.1704,1.679999
-0.1200386,-0.3495486,-0.2277899,-161.047,-123.091,-117.7879,1.689999
-0.09211451,-0.3637579,-0.2517303,-165.7897,-124.6843,-110.0988,1.699999
-0.0741131,-0.3701939,-0.2742486,-168.679,-126.5319,-105.1224,1.709999
-0.05286266,-0.3325811,-0.3208653,-170.9686,-133.9728,-99.35545,1.719999
-0.0449596,-0.3010699,-0.3648747,-171.5066,-140.4729,-97.02454,1.729999
-0.03723216,-0.2851889,-0.3889732,-172.562,-143.7517,-95.46763,1.739999
-0.0187917,-0.2486627,-0.422158,-175.6783,-149.5007,-92.54874,1.749999
0.0417984,-0.1600635,-0.4561328,165.3648,-160.6633,-84.76424,1.759999
0.06902001,-0.1023905,-0.4743054,146.0166,-167.8182,-81.72054,1.769999
0.07341063,-0.07856904,-0.4837868,136.9439,-170.7754,-81.37166,1.779999
0.09799789,-0.02465731,-0.4717771,104.1231,-177.0082,-78.26535,1.789999
0.1300492,0.02382147,-0.4698018,79.62003,177.0973,-74.527,1.799999
0.1262733,0.04413239,-0.464429,70.73553,174.5718,-74.78957,1.809999
0.1455919,0.08692746,-0.4464934,59.16015,168.9829,-71.93996,1.819999
0.1621004,0.1178536,-0.4370121,53.98133,164.9075,-69.64872,1.829999
0.1902002,0.1554664,-0.4133087,50.73802,159.3862,-65.28862,1.839999
0.1995961,0.1654965,-0.3980595,50.33593,157.4245,-63.36977,1.849999
0.206182,0.2169007,-0.374198,43.54873,149.9016,-61.14537,1.859999
0.2086407,0.2306921,-0.3577637,42.12657,147.1854,-59.75011,1.869999
0.206182,0.266884,-0.3320849,37.68797,141.2125,-58.16505,1.879999
0.203372,0.2794216,-0.3054581,36.04832,137.5489,-56.34459,1.889999
0.2184756,0.3243063,-0.2827028,33.96699,131.0792,-52.30278,1.899999
0.2175975,0.3322467,-0.2574192,33.22189,127.7679,-49.79203,1.909999
0.2029329,0.3472919,-0.2521254,30.29901,125.9787,-51.16979,1.919999
0.2024939,0.356319,-0.2402737,29.6093,123.9927,-49.87703,1.929998
0.1989814,0.3606653,-0.2360861,28.8858,123.2082,-49.87467,1.939999
0.1873024,0.3853227,-0.2167283,25.92403,119.356,-49.16554,1.949998
0.1886196,0.3818121,-0.207879,26.2899,118.5662,-47.78088,1.959999
0.1881805,0.4024574,-0.1798299,25.05979,114.0765,-43.70011,1.969998
0.1840534,0.4164996,-0.1618153,23.84089,111.2318,-41.32116,1.979998
0.173516,0.4164996,-0.1519389,22.61688,110.042,-41.20695,1.989998
0.1537583,0.4311267,-0.1438797,19.62842,108.4554,-43.09905,1.999998
0.1442747,0.434888,-0.1163838,18.35333,104.9823,-38.89249,2.009999
0.135757,0.440906,-0.1045321,17.11383,103.3377,-37.59607,2.019999
0.135757,0.4647275,-0.08319897,16.28422,100.15,-31.50215,2.029999
0.1372497,0.4616349,-0.04827598,16.55786,95.97006,-19.37872,2.039999
0.1328592,0.4747576,-0.02694288,15.63408,93.24809,-11.46371,2.049999
0.131542,0.4850385,-0.000237017,15.17359,90.02799,-0.1032375,2.059999
0.1164384,0.4914744,0.01319491,13.32856,88.46211,6.465232,2.069999
0.1152968,0.4816951,0.01690846,13.46086,87.98962,8.343046,2.079998
0.10915,0.4893848,0.04969819,12.57318,84.20135,24.48073,2.089998
0.1050228,0.4963223,0.04756487,11.94767,84.52579,24.36578,2.099998
0.08324552,0.4954865,0.06415728,9.537061,82.62219,37.62142,2.109998
0.06770284,0.4910565,0.07340162,7.84998,81.49854,47.31274,2.119998
0.0389006,0.4946507,0.07521886,4.496633,81.35357,62.65355,2.129998
0.01721111,0.493564,0.08628048,1.997156,80.08425,78.7188,2.139998
-0.01264488,0.4854564,0.09117917,-1.492069,79.36255,97.89551,2.149998
-0.02695819,0.4793548,0.103821,-3.218838,77.77935,104.556,2.159998
-0.05391641,0.4806085,0.1061913,-6.400886,77.54057,116.9182,2.169998
-0.08271864,0.4663992,0.1164628,-10.05716,75.97959,125.3846,2.179998
-0.1134527,0.461217,0.1238109,-13.81956,74.97356,132.5002,2.189998
-0.1496312,0.4417419,0.1255491,-18.71277,74.13412,140.0014,2.199998
-0.174921,0.4246072,0.1297367,-22.38968,73.0097,143.4361,2.209998
-0.2110994,0.4064694,0.1255491,-27.44505,72.83527,149.2584,2.219998
-0.2391992,0.3788867,0.1362157,-32.26508,70.22569,150.34,2.229998
-0.2557078,0.3602474,0.1423786,-35.36757,68.43485,150.8909,2.239998
-0.2841588,0.3222167,0.1579438,-41.40866,63.88688,150.9334,2.249998
-0.2951352,0.3063357,0.1554154,-43.93317,63.09963,152.2291,2.259998
-0.3201616,0.2683049,0.1697955,-50.03598,57.67252,152.0611,2.269998
-0.3210397,0.2484955,0.1828324,-52.25892,53.65594,150.3384,2.279998
-0.3381629,0.2043631,0.1911286,-58.85403,46.9166,150.525,2.289998
-0.3480857,0.1813775,0.1984767,-62.47727,42.42255,150.3084,2.299998
-0.3423779,0.1395854,0.207958,-67.81956,33.87027,148.7258,2.309998
-0.3480857,0.1222835,0.2120666,-70.64347,29.96895,148.6487,2.319998
-0.3300843,0.09762622,0.2235233,-73.5238,23.59382,145.8953,2.329998
-0.3362311,0.09110666,0.2174394,-74.83893,22.73358,147.1094,2.339998
-0.3192835,0.03970243,0.2288961,-82.91173,9.840153,144.3631,2.349998
-0.3125219,0.02674691,0.2341898,-85.10831,6.515542,143.1538,2.359998
-0.2911837,-0.04404881,0.23577,-98.60219,-10.58254,141.0031,2.369998
-0.2771338,-0.06076562,0.228106,-102.3672,-14.91673,140.5426,2.379998
-0.2703723,-0.06686727,0.2387725,-103.8914,-15.64469,138.5515,2.389998
-0.2766948,-0.07413908,0.2262887,-104.9998,-18.14037,140.7227,2.399998
-0.2671233,-0.08985289,0.2178344,-108.5915,-22.41529,140.8033,2.409998
-0.2651036,-0.121782,0.2099333,-114.6729,-30.11795,141.6246,2.419998
-0.2775729,-0.1255433,0.2002149,-114.3367,-32.08946,144.1969,2.429998
-0.2725676,-0.1489468,0.1701906,-118.6547,-41.19166,148.0194,2.439998
-0.2688795,-0.1656637,0.1567587,-121.6383,-46.58205,149.7575,2.449998
-0.2775729,-0.1769475,0.1447489,-122.5167,-50.71569,152.4588,2.459998
-0.2741482,-0.1995152,0.1144875,-126.0458,-60.15156,157.334,2.469998
-0.2737092,-0.2077065,0.08130276,-127.1933,-68.62308,163.4564,2.479998
-0.2866175,-0.2357071,0.02955027,-129.433,-82.85419,174.1136,2.489998
-0.2936424,-0.2457372,0.009797439,-129.9246,-87.71684,178.089,2.499998
-0.2850369,-0.2655467,-0.04788089,-132.9726,-100.2212,-170.4644,2.509998
-0.2841588,-0.2607823,-0.09307542,-132.5437,-109.6419,-161.8639,2.519998
-0.2725676,-0.2607823,-0.1278405,-133.7342,-116.115,-154.8723,2.529998
-0.2642255,-0.2668004,-0.1766695,-135.2778,-123.5117,-146.2321,2.539998
-0.2561468,-0.2478268,-0.2360861,-134.0542,-133.6102,-137.3338,2.549998
-0.2552687,-0.2400535,-0.2578142,-133.2406,-137.0431,-134.7157,2.559998
-0.2352476,-0.2049482,-0.3107518,-131.0624,-146.5942,-127.1267,2.569998
-0.2302423,-0.1809595,-0.3287664,-128.1656,-151.1707,-125.0044,2.579998
-0.2040745,-0.1433467,-0.3635315,-125.0851,-158.4798,-119.3084,2.589998
-0.2036354,-0.1134236,-0.3889732,-119.1175,-163.7434,-117.633,2.599998
-0.1626273,-0.07204947,-0.4193925,-113.895,-170.252,-111.1947,2.609998
-0.1430453,-0.02758274,-0.4255555,-100.9141,-176.2915,-108.5794,2.619998
-0.1118721,0.02031092,-0.4397775,-79.70975,177.3557,-104.2724,2.629998
-0.1044082,0.0530759,-0.4393824,-63.05348,173.1122,-103.367,2.639998
-0.06559535,0.09261118,-0.4263455,-35.30947,167.7445,-98.74664,2.649998
-0.03530032,0.1646606,-0.409121,-12.10004,158.0765,-94.93145,2.659998
-0.02125044,0.1830492,-0.4079359,-6.621906,155.8332,-92.98198,2.669998
0.009483671,0.2413908,-0.3710376,2.249857,146.9526,-88.53584,2.679998
0.04065684,0.2927951,-0.3368256,7.905406,139.0003,-83.11736,2.689998
0.03740782,0.3063357,-0.3237887,6.962137,136.5865,-83.40974,2.699998
