Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
10.35002,0.1316667,-0.5791667,0.30225,-0.07,0.12,1.22,279.9795,0,-1784.206,148,-127.0506
10.40002,0.2316667,-0.49725,0.3079167,-0.26,-0.7,0.77,286.3406,0,-1797.404,148,-131.9795
10.45002,0.2395833,-0.4155833,0.296,0.32,0.62,1.01,292.584,0,-1797.404,148,-131.9795
10.50002,0.21975,-0.3585,0.3435,0.16,0.58,0.66,298.817,0,-1811.863,148,-144.584
10.55002,0.21475,-0.2591667,0.34225,-0.11,-0.6,1.04,303.7054,0,-1826.944,148,-150.817
10.60002,0.1889167,-0.22625,0.35,-0.2,-0.23,0.84,307.0048,0,-1826.944,148,-150.817
10.65002,0.16,-0.1579167,0.3368333,0.22,0.3,0.91,311.6276,0,-1842.845,148,-159.0048
10.70002,0.07016667,-0.1558333,0.3258333,-0.47,-0.9599999,1.12,306.4925,0,-1842.845,148,-159.0048
10.75002,0.02458333,-0.1029167,0.3266666,0.34,0.61,0.6,297.6834,0,-1858.694,148,-158.4925
10.80002,-0.03458333,-0.1039167,0.2883333,-0.42,-0.85,1.33,276.4225,0,-1873.663,148,-149.6834
10.85002,-0.08916666,-0.1289167,0.2980833,0.09,0.27,0.5,256.7856,0,-1873.663,148,-149.6834
10.90002,-0.1320833,-0.1164167,0.2625,0.03,-0.2,1.28,236.105,0,-1884.541,148,-108.7856
10.95002,-0.2151667,-0.1554167,0.2318333,-0.42,-0.52,0.72,224.1878,0,-1884.541,148,-108.7856
11.00002,-0.2291667,-0.1835,0.2389167,0.47,0.43,0.99,218.6396,0,-1892.16,148,-76.18779
11.05002,-0.2679167,-0.2475,0.1879167,0.37,0.09,0.89,219.0859,0,-1899.224,148,-70.63957
11.10002,-0.3025,-0.34,0.21725,-0.53,-0.06,1.26,223.2524,0,-1899.224,148,-70.63957
11.15002,-0.2695833,-0.3680833,0.1714167,0.2,-0.65,0.53,228.2843,0,-1906.749,148,-75.25238
