x,y,z,heading1,heading2,heading3
0.2543334,-0.08,-0.39,342.5392,258.4078,146.8902,19.90004
0.2058333,-0.15225,-0.4104167,323.5106,249.6469,153.3652,20.00004
0.1595833,-0.1791667,-0.4141666,311.6914,246.6069,158.9277,20.10004
0.1805833,-0.1795833,-0.3989167,315.1591,245.7638,155.6445,20.20004
0.1991667,-0.16225,-0.3920834,320.8322,247.5195,153.0708,20.30004
0.216,-0.14225,-0.3839167,326.6325,249.6692,150.6369,20.40004
0.245,-0.1016667,-0.4026667,337.4632,255.8299,148.6818,20.50004
0.2795833,-0.05933333,-0.3851667,348.0184,261.2427,144.025,20.60004
0.2708333,-0.00875,-0.39,358.1495,268.7147,145.2222,20.70004
0.28725,0.03683333,-0.381,7.307017,275.5219,142.986,20.80004
0.2720833,0.06141667,-0.395,12.72005,278.8379,145.4402,20.90004
0.265,0.1055833,-0.3789167,21.72371,285.5703,145.0325,21.00004
0.2416667,0.1655833,-0.37625,34.41787,293.7538,147.2872,21.10004
0.1893333,0.2254167,-0.3801667,49.97222,300.6655,153.5254,21.20004
0.1020833,0.2630833,-0.37125,68.79242,305.323,164.6252,21.30005
0.02333333,0.2841667,-0.3729167,85.30589,307.3078,176.4197,21.40005
-0.08766666,0.2491667,-0.3626667,109.3839,304.4906,193.5893,21.50005
-0.1675,0.1929167,-0.39,130.9662,296.3197,203.2429,21.60005
-0.1983333,0.1008333,-0.3980833,153.0511,284.2139,206.4834,21.70005
-0.2214167,0.01225,-0.38225,176.8333,271.8355,210.0814,21.80005
-0.2091667,-0.06666667,-0.39375,197.6784,260.3903,207.978,21.90005
-0.1641667,-0.141,-0.41125,220.6587,251.0754,201.7614,22.00005
-0.14725,-0.1726667,-0.4125,229.5425,247.2865,199.645,22.10005
-0.1118333,-0.1839167,-0.4030833,238.6977,245.474,195.5064,22.20005
-0.1501667,-0.1429167,-0.4108333,223.583,250.8188,200.0782,22.30005
-0.19375,-0.06791667,-0.40225,199.3175,260.4165,205.7185,22.40005
-0.2235,0.07625,-0.3920834,161.1622,281.0052,209.6845,22.50005
-0.1489167,0.2025,-0.3785,126.3304,298.1471,201.4766,22.60005
0.005583333,0.2780833,-0.3716667,88.84977,306.8041,179.1393,22.70005
0.1654167,0.25725,-0.3716667,57.2582,304.6891,156.0077,22.80005
0.27,0.1285,-0.37,25.45098,289.152,143.8807,22.90005
0.3025,-0.01433333,-0.3883333,357.2872,267.8862,142.0825,23.00005
0.2251667,-0.1370833,-0.4005833,328.6666,251.1086,150.6598,23.10005
0.1114167,-0.2141667,-0.4064167,297.485,242.2124,164.6693,23.20005
-0.03375,-0.2180833,-0.4189167,261.2029,242.499,184.6061,23.30005
-0.1118333,-0.1626667,-0.41125,235.4915,248.4191,195.2129,23.40005
-0.17975,-0.08625,-0.4026667,205.6332,257.9101,204.0559,23.50005
-0.2045833,-0.036,-0.4039166,189.98,264.9069,206.8622,23.60005
-0.2,-0.03975,-0.4079166,191.2411,264.4343,206.1185,23.70005
-0.1835,-0.06458333,-0.3941667,199.3897,260.6949,204.9638,23.80005
-0.1325,-0.1579167,-0.4079166,230.0017,248.8371,197.9949,23.90005
-0.02375,-0.2401667,-0.4091667,264.3524,239.5886,183.322,24.00006
0.1551667,-0.1976667,-0.3989167,308.1316,243.6412,158.7454,24.10006
0.2720833,-0.07416666,-0.4001667,344.7523,259.5,145.7872,24.20006
0.2818333,0.1220833,-0.3729167,23.42109,288.1271,142.9197,24.30006
0.1629167,0.2643333,-0.366,58.35321,305.8376,156.0048,24.40006
-0.01683333,0.2833333,-0.3830833,93.40004,306.4871,182.5161,24.50006
-0.1658333,0.1825,-0.3895833,132.2607,295.1007,203.0579,24.60006
-0.1970833,0.03375,-0.4043333,170.2825,274.7715,205.9859,24.70006
-0.186,-0.07583333,-0.4120833,202.181,259.5728,204.2928,24.80006
-0.1176667,-0.1683333,-0.4120833,235.0461,247.7803,195.9362,24.90006
-0.07391667,-0.2101667,-0.41125,250.623,242.931,190.1894,25.00006
-0.05416667,-0.211,-0.4079166,255.6023,242.6492,187.564,25.10006
-0.09166667,-0.1964167,-0.4051667,244.9818,244.1368,192.7482,25.20006
-0.1555833,-0.16,-0.4193334,225.8018,249.1152,200.3561,25.30006
-0.2295833,0.00475,-0.3985,178.8147,270.6829,209.9471,25.40006
-0.18475,0.1579167,-0.3879167,139.4775,292.1507,205.4667,25.50006
-0.03683333,0.2780833,-0.3805833,97.54514,306.1547,185.528,25.60006
0.1620833,0.2495833,-0.3793334,56.99967,303.343,156.8637,25.70006
0.2551667,0.1108333,-0.3801667,23.47803,286.2534,146.1306,25.80006
0.2518333,-0.06541667,-0.3818333,345.4386,260.2783,146.5937,25.90006
0.1745833,-0.1880833,-0.41,312.8682,245.3572,156.9351,26.00006
0.01558333,-0.2105833,-0.4076666,274.2322,242.681,177.8109,26.10006
-0.1025,-0.1739167,-0.4243333,239.4865,247.7133,193.58,26.20006
-0.1814167,-0.1035,-0.41,209.7052,255.8323,203.8684,26.30006
-0.2041667,-0.03,-0.4026667,188.3592,265.7391,206.8867,26.40006
-0.2164167,-0.005833333,-0.4116667,181.544,269.1882,207.7313,26.50006
-0.20125,-0.03166667,-0.4014167,188.9422,265.4894,206.6269,26.60007
-0.20125,-0.09833334,-0.40875,206.0407,256.4734,206.2136,26.70007
-0.1033333,-0.1951667,-0.4035,242.1005,244.1877,194.3643,26.80007
0.04766666,-0.2293333,-0.4205833,281.7417,241.3975,173.534,26.90007
0.1966667,-0.155,-0.3993333,321.7571,248.7864,153.7803,27.00007
0.2905833,0.04641667,-0.38475,9.075536,276.879,142.938,27.10007
0.2126667,0.235,-0.37625,47.85602,301.9883,150.5237,27.20007
0.0575,0.29625,-0.3635,79.01587,309.1798,171.0112,27.30007
-0.1105833,0.24,-0.3741667,114.7385,302.6772,196.4648,27.40007
-0.1880833,0.1345833,-0.381,144.4143,289.4551,206.2736,27.50007
-0.20125,0.01833333,-0.42225,174.7949,272.4861,205.4831,27.60007
-0.1826667,-0.08433333,-0.4068333,204.7818,258.2889,204.1799,27.70007
-0.1464167,-0.176,-0.4291667,230.2425,247.7016,198.8379,27.80007
-0.0625,-0.2201667,-0.4133333,254.152,241.9575,188.5985,27.90007
0.01308333,-0.2339167,-0.4030833,273.2013,239.8726,178.1409,28.00007
0.09416667,-0.2383333,-0.3985,291.5592,239.1174,166.7047,28.10007
0.1564167,-0.2170833,-0.3980833,305.7742,241.3954,158.5489,28.20007
0.18225,-0.1876667,-0.39375,314.1611,244.5169,155.1626,28.30007
0.191,-0.1816667,-0.4064167,316.4347,245.9156,154.8283,28.40007
0.20375,-0.17225,-0.3855834,319.7889,245.9285,152.1471,28.50007
0.19225,-0.1829167,-0.40725,316.4251,245.8127,154.7295,28.60007
0.1451667,-0.2116667,-0.4218333,304.4434,243.3535,161.01,28.70007
0.0735,-0.2414167,-0.4214167,286.933,240.1929,170.1065,28.80007
-0.07933333,-0.20975,-0.4035,249.282,242.5334,191.1232,28.90007
-0.1868333,-0.1104167,-0.4039166,210.5827,254.7109,204.8231,29.00007
-0.2214167,0.08141666,-0.38875,159.8111,281.8286,209.6641,29.10007
-0.11225,0.2530833,-0.3826667,113.9187,303.4794,196.3483,29.20008
0.111,0.2591667,-0.3843333,66.81475,303.9929,163.8907,29.30008
0.2795833,0.10875,-0.3801667,21.25463,285.9637,143.6684,29.40008
0.2666667,-0.08349999,-0.3904166,342.6133,257.9278,145.6657,29.50008
0.156,-0.2101667,-0.4120833,306.5853,242.978,159.2651,29.60008
0.04475,-0.23625,-0.4039166,280.7258,239.6767,173.678,29.70008
-0.06208333,-0.2089167,-0.40475,253.4497,242.6989,188.7205,29.80008
-0.1135,-0.1751667,-0.4183333,237.0586,247.2797,195.1798,29.90008
